DisplayName;ServiceName;StartType;ServiceType;Description
Acesso a Dados de Usuário_1c1eca42;UserDataSvc_1c1eca42;Manual;224;"Fornece aos aplicativos acesso a dados estruturados de usuário, incluindo informações de contato, calendários, mensagens e outros tipos de conteúdo. Se você interromper ou desabilitar este serviço, os aplicativos que usam esses dados poderão não funcionar corretamente."
Adaptador de Desempenho WMI;wmiApSrv;Manual;Win32OwnProcess;"Fornece informações sobre bibliotecas de desempenho de provedores WMI (Instrumentação de Gerenciamento do Windows) a clientes na rede. Este serviço é executado apenas quando o Auxiliar de Dados de Desempenho está ativado."
Agendador de Tarefas;Schedule;Automatic;Win32OwnProcess, Win32ShareProcess;"Permite que um usuário configure e agende tarefas automatizadas no computador. O serviço também hospeda várias tarefas críticas de sistema do Windows. Se este serviço for interrompido ou desativado, essas tarefas não serão executadas nos horários agendados. Se este serviço for desativado, quaisquer serviços que dele dependam diretamente não serão iniciados."
Agent Activation Runtime_1c1eca42;AarSvc_1c1eca42;Disabled;224;"Runtime for activating conversational agent applications"
Agente de Conexão de Rede;NcbService;Disabled;Win32ShareProcess;"Conexões de agentes que permitem que Aplicativos da Windows Store recebam notificações da Internet."
Agente de Descoberta em Segundo Plano de DevQuery;DevQueryBroker;Manual;Win32ShareProcess;"Permite que os aplicativos descubram dispositivos com uma tarefa em segundo plano"
Agente de Eventos do Sistema;SystemEventsBroker;Automatic;Win32ShareProcess;"Coordena a execução do trabalho em segundo plano para o aplicativo WinRT. Se este serviço for parado ou desabilitado, o trabalho em segundo plano pode não ser disparado."
Agente de Política IPsec;PolicyAgent;Manual;Win32OwnProcess, Win32ShareProcess;"O IPsec oferece suporte à autenticação par no nível da rede, autenticação de origem de dados, integridade dos dados, confidencialidade de dados (criptografia) e proteção contra repetição. Esse serviço impõe políticas IPsec criadas por meio do snap-in Políticas de Segurança IP ou a ferramenta de linha de comando "netsh ipsec". Se você interromper esse serviço, poderá ter problemas de conectividade de rede se a política exigir que as conexões usem IPsec. Além disso, o gerenciamento remoto do Windows Defender Firewall não fica disponível quando esse serviço é interrompido."
Agente de Tempo;TimeBrokerSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Coordena a execução do trabalho em segundo plano para o aplicativo WinRT. Se este serviço for parado ou desabilitado, o trabalho em segundo plano pode não ser disparado."
Agrupamento de Rede de Par;p2psvc;Disabled;Win32ShareProcess;"Habilita a comunicação com vários participantes usando o Agrupamento Ponto a Ponto. Se estiver desabilitada, aplicativos como o HomeGroup não funcionarão."
